,Sentence,Type,Story
0,"לבלה  שרה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
1,"לבלה  מריה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
2,"לבלה  סופיה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
3,"לבלה  אנה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
4,"לבלה  רוזה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
5,לבלה יש עיניים  כחולות  מכיוון שעיניה חומות כשחשופות לאור שמש.,Descriptive,generated
6,לבלה יש עיניים  אדומות  מכיוון שעיניה חומות כשחשופות לאור שמש.,Descriptive,generated
7,לבלה יש עיניים  בהירות  מכיוון שעיניה חומות כשחשופות לאור שמש.,Descriptive,generated
8,לבלה יש עיניים  חומות  מכיוון שעיניה חומות כשחשופות לאור שמש.,Descriptive,generated
9,לבלה יש עיניים  ירוקות  מכיוון שעיניה חומות כשחשופות לאור שמש.,Descriptive,generated
10,"לבלה יש עיניים יפות, !  שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
11,"לבלה יש עיניים יפות,  יחסית  שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
12,"לבלה יש עיניים יפות,  בעיקר  שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
13,"לבלה יש עיניים יפות,  2  שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
14,"לבלה יש עיניים יפות,  כחולות  שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
15,"לבלה יש עיניים יפות, מכיוון שעיניה חומות  יחסית  לאור שמש.",Descriptive,generated
16,"לבלה יש עיניים יפות, מכיוון שעיניה חומות  בעיקר  לאור שמש.",Descriptive,generated
17,"לבלה יש עיניים יפות, מכיוון שעיניה חומות !  לאור שמש.",Descriptive,generated
18,"לבלה יש עיניים יפות, מכיוון שעיניה חומות  בהתאמה  לאור שמש.",Descriptive,generated
19,"לבלה יש עיניים יפות, מכיוון שעיניה חומות  ירוקות  לאור שמש.",Descriptive,generated
20,למרות שהיא !  ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.,Descriptive,generated
21,למרות שהיא  היא  ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.,Descriptive,generated
22,למרות שהיא  מריה  ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.,Descriptive,generated
23,למרות שהיא  ו  ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.,Descriptive,generated
24,למרות שהיא  שרה  ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.,Descriptive,generated
25,"למרות שהיא קצרה, ליטה  בתמונה  בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,generated
26,"למרות שהיא קצרה, ליטה  יחסית  בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,generated
27,"למרות שהיא קצרה, ליטה !  בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,generated
28,"למרות שהיא קצרה, ליטה  42  בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,generated
29,"למרות שהיא קצרה, ליטה  30  בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,generated
30,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים !  כך שהיא נראית גבוהה היום.",Descriptive,generated
31,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  לבנים  כך שהיא נראית גבוהה היום.",Descriptive,generated
32,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  כחולים  כך שהיא נראית גבוהה היום.",Descriptive,generated
33,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  שחורים  כך שהיא נראית גבוהה היום.",Descriptive,generated
34,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  ארוכים  כך שהיא נראית גבוהה היום.",Descriptive,generated
35,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא  כמעט  גבוהה היום.",Descriptive,generated
36,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא  עדיין  גבוהה היום.",Descriptive,generated
37,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא  יחסית  גבוהה היום.",Descriptive,generated
38,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא  לא  גבוהה היום.",Descriptive,generated
39,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא  קצת  גבוהה היום.",Descriptive,generated
40,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית  כל  היום.",Descriptive,generated
41,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית  כמו  היום.",Descriptive,generated
42,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית  גם  היום.",Descriptive,generated
43,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית  טוב  היום.",Descriptive,generated
44,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית  רוב  היום.",Descriptive,generated
45,"לדני !  מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
46,"לדני ?  מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
47,"לדני  54  מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
48,"לדני  5  מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
49,"לדני  קרן  מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
50,לדני יש מזג  חם  כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.,Descriptive,generated
51,לדני יש מזג  אוויר  כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.,Descriptive,generated
52,לדני יש מזג !  כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.,Descriptive,generated
53,לדני יש מזג  טוב  כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.,Descriptive,generated
54,לדני יש מזג  נוח  כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.,Descriptive,generated
55,"לדני יש מזג גבוה, כך  היא  יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
56,"לדני יש מזג גבוה, כך  שהיא  יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
57,"לדני יש מזג גבוה, כך  אני  יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
58,"לדני יש מזג גבוה, כך  ש  יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
59,"לדני יש מזג גבוה, כך  את  יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,generated
60,"לדני יש מזג גבוה, כך שהיא יכולה  כמעט  בכל מי שניגש אליה אתמול.",Descriptive,generated
61,"לדני יש מזג גבוה, כך שהיא יכולה  לגעת  בכל מי שניגש אליה אתמול.",Descriptive,generated
62,"לדני יש מזג גבוה, כך שהיא יכולה  לצפות  בכל מי שניגש אליה אתמול.",Descriptive,generated
63,"לדני יש מזג גבוה, כך שהיא יכולה  לשלוט  בכל מי שניגש אליה אתמול.",Descriptive,generated
64,"לדני יש מזג גבוה, כך שהיא יכולה  גם  בכל מי שניגש אליה אתמול.",Descriptive,generated
65,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל  גבר  שניגש אליה אתמול.",Descriptive,generated
66,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל  כמעט  שניגש אליה אתמול.",Descriptive,generated
67,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל  אדם  שניגש אליה אתמול.",Descriptive,generated
68,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל !  שניגש אליה אתמול.",Descriptive,generated
69,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל  הגבר  שניגש אליה אתמול.",Descriptive,generated
70,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי  שהגיע  אליה אתמול.",Descriptive,generated
71,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי  שבא  אליה אתמול.",Descriptive,generated
72,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי  שקשור  אליה אתמול.",Descriptive,generated
73,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי  שנכנס  אליה אתמול.",Descriptive,generated
74,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי  שדיבר  אליה אתמול.",Descriptive,generated
75," רודי  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
76," 2  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
77," 1  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
78," ג  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
79," 3  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
80,"כאשר  הצליח  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
81,"כאשר  ניסה  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
82,"כאשר  רודי  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
83,"כאשר  ניסו  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
84,"כאשר  נאלץ  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
85,"כאשר עמד  ונפל  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
86,"כאשר עמד  לבדו  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
87,"כאשר עמד  שוב  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
88,"כאשר עמד  כמעט  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
89,"כאשר עמד  בטעות  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
90,"כאשר עמד להיכנס למערה,  הוא  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
91,"כאשר עמד להיכנס למערה,  הנרי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
92,"כאשר עמד להיכנס למערה,  הארי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
93,"כאשר עמד להיכנס למערה,  אדם  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
94,"כאשר עמד להיכנס למערה,  אלכסנדר  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
95,"כאשר עמד להיכנס למערה, רודי  נקלע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
96,"כאשר עמד להיכנס למערה, רודי  הגיע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
97,"כאשר עמד להיכנס למערה, רודי  נכנס  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
98,"כאשר עמד להיכנס למערה, רודי  היה  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
99,"כאשר עמד להיכנס למערה, רודי  האחראי  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
100,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  רודי  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
101,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  הוא  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
102,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  כמעט  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
103,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  המקל  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
104,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  התובע  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
105,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  גרם  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
106,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הורה  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
107,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  נתן  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
108,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הרשה  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
109,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  איפשר  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
110,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  רודי  מכריתה מפלדה חדה.",Descriptive,generated
111,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  חבריו  מכריתה מפלדה חדה.",Descriptive,generated
112,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  אחיו  מכריתה מפלדה חדה.",Descriptive,generated
113,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  התאומים  מכריתה מפלדה חדה.",Descriptive,generated
114,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו !  מכריתה מפלדה חדה.",Descriptive,generated
115,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  מקור ",Descriptive,generated
116,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  1 ",Descriptive,generated
117,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  צילום ",Descriptive,generated
118,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  2 ",Descriptive,generated
119,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  אורלי ",Descriptive,generated
120,הברזל  המכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
121,הברזל  פתח  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
122,הברזל  מכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
123,הברזל  סימן  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
124,הברזל  החליף  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
125,הברזל שחתך את ברכו של  ישו  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
126,הברזל שחתך את ברכו של  משה  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
127,הברזל שחתך את ברכו של  אברהם  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
128,הברזל שחתך את ברכו של  דוד  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
129,הברזל שחתך את ברכו של  הזקן  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
130,הברזל שחתך את ברכו של רודי היה משמאל למערה !  היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
131,הברזל שחתך את ברכו של רודי היה משמאל למערה  משמאל  היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
132,הברזל שחתך את ברכו של רודי היה משמאל למערה  מימין  היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
133,הברזל שחתך את ברכו של רודי היה משמאל למערה  1  היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
134,הברזל שחתך את ברכו של רודי היה משמאל למערה ?  היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
135,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום  חום  שהיה במערה הרבה זמן,Descriptive,generated
136,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום !  שהיה במערה הרבה זמן,Descriptive,generated
137,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום  לבן  שהיה במערה הרבה זמן,Descriptive,generated
138,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום  כהה  שהיה במערה הרבה זמן,Descriptive,generated
139,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום  מאוד  שהיה במערה הרבה זמן,Descriptive,generated
140,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  שהיה  במערה הרבה זמן,Descriptive,generated
141,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון !  במערה הרבה זמן,Descriptive,generated
142,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  השמש  במערה הרבה זמן,Descriptive,generated
143,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  כנראה  במערה הרבה זמן,Descriptive,generated
144,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  לא  במערה הרבה זמן,Descriptive,generated
145,"חוסנה  בתמונה  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
146,"חוסנה  22  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
147,"חוסנה  30  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
148,"חוסנה  34  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
149,"חוסנה  5  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
150,"חוסנה לבשה היום חולצה  שחורה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
151,"חוסנה לבשה היום חולצה  לבנה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
152,"חוסנה לבשה היום חולצה  אדומה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
153,"חוסנה לבשה היום חולצה  לבן  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
154,"חוסנה לבשה היום חולצה !  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
155,חוסנה לבשה היום חולצה לבנה וחצאית !  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
156,חוסנה לבשה היום חולצה לבנה וחצאית  שחורה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
157,חוסנה לבשה היום חולצה לבנה וחצאית  לבנה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
158,חוסנה לבשה היום חולצה לבנה וחצאית  קצרה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
159,חוסנה לבשה היום חולצה לבנה וחצאית  חצאית  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
160,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  בתקווה  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
161,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כנראה  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
162,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כמובן  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
163,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, !  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
164,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  ברור  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
165,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  חמישי  תהיה מתמחה בעבודתה.",Descriptive,generated
