,Sentence,Type,Story
0,"לבלה  שרה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,generated
1,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  לבנים  כך שהיא נראית גבוהה היום.",Descriptive,generated
2,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  כחולים  כך שהיא נראית גבוהה היום.",Descriptive,generated
3,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  שחורים  כך שהיא נראית גבוהה היום.",Descriptive,generated
4,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  ארוכים  כך שהיא נראית גבוהה היום.",Descriptive,generated
5," רודי  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
6,"כאשר  הצליח  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
7,"כאשר  ניסה  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
8,"כאשר  רודי  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
9,"כאשר  ניסו  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
10,"כאשר  נאלץ  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
11,"כאשר עמד  ונפל  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
12,"כאשר עמד  לבדו  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
13,"כאשר עמד  שוב  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
14,"כאשר עמד  כמעט  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
15,"כאשר עמד  בטעות  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
16,"כאשר עמד להיכנס למערה,  הוא  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
17,"כאשר עמד להיכנס למערה,  הנרי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
18,"כאשר עמד להיכנס למערה,  הארי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
19,"כאשר עמד להיכנס למערה,  אדם  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
20,"כאשר עמד להיכנס למערה,  אלכסנדר  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
21,"כאשר עמד להיכנס למערה, רודי  נקלע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
22,"כאשר עמד להיכנס למערה, רודי  הגיע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
23,"כאשר עמד להיכנס למערה, רודי  נכנס  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
24,"כאשר עמד להיכנס למערה, רודי  היה  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
25,"כאשר עמד להיכנס למערה, רודי  האחראי  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
26,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  רודי  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
27,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  הוא  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
28,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  כמעט  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
29,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  המקל  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
30,"כאשר עמד להיכנס למערה, רודי נפל למצב בו  התובע  גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
31,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  גרם  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
32,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הורה  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
33,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  נתן  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
34,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הרשה  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
35,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  איפשר  לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,generated
36,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  רודי  מכריתה מפלדה חדה.",Descriptive,generated
37,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  חבריו  מכריתה מפלדה חדה.",Descriptive,generated
38,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  אחיו  מכריתה מפלדה חדה.",Descriptive,generated
39,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  התאומים  מכריתה מפלדה חדה.",Descriptive,generated
40,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו !  מכריתה מפלדה חדה.",Descriptive,generated
41,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  מקור ",Descriptive,generated
42,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  1 ",Descriptive,generated
43,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  צילום ",Descriptive,generated
44,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  2 ",Descriptive,generated
45,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  אורלי ",Descriptive,generated
46,הברזל  המכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
47,הברזל  פתח  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
48,הברזל  מכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
49,הברזל  סימן  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
50,הברזל  החליף  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
51,הברזל שחתך את ברכו של  ישו  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
52,הברזל שחתך את ברכו של  משה  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
53,הברזל שחתך את ברכו של  אברהם  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
54,הברזל שחתך את ברכו של  דוד  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
55,הברזל שחתך את ברכו של  הזקן  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,generated
56,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  השמש  במערה הרבה זמן,Descriptive,generated
57,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  כנראה  במערה הרבה זמן,Descriptive,generated
58,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  לא  במערה הרבה זמן,Descriptive,generated
59,"חוסנה  בתמונה  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
60,"חוסנה לבשה היום חולצה  שחורה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
61,"חוסנה לבשה היום חולצה  לבנה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
62,"חוסנה לבשה היום חולצה  אדומה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
63,"חוסנה לבשה היום חולצה  לבן  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
64,חוסנה לבשה היום חולצה לבנה וחצאית  שחורה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
65,חוסנה לבשה היום חולצה לבנה וחצאית  לבנה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
66,חוסנה לבשה היום חולצה לבנה וחצאית  קצרה  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
67,חוסנה לבשה היום חולצה לבנה וחצאית  חצאית  נראה שהיום היא תהיה מתמחה בעבודתה.,Descriptive,generated
68,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  בתקווה  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
69,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כנראה  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
70,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כמובן  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
71,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  ברור  שהיום היא תהיה מתמחה בעבודתה.",Descriptive,generated
72,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  חמישי  תהיה מתמחה בעבודתה.",Descriptive,generated
73,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  רביעי  תהיה מתמחה בעבודתה.",Descriptive,generated
74,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  ראשון  תהיה מתמחה בעבודתה.",Descriptive,generated
75,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שישי  תהיה מתמחה בעבודתה.",Descriptive,generated
76,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שלישי  תהיה מתמחה בעבודתה.",Descriptive,generated
77,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  כנראה  מתמחה בעבודתה.",Descriptive,generated
78,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  היא  מתמחה בעבודתה.",Descriptive,generated
79,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  שוב  מתמחה בעבודתה.",Descriptive,generated
80,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  אני  מתמחה בעבודתה.",Descriptive,generated
81,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  לא  מתמחה בעבודתה.",Descriptive,generated
82,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  שוב  בעבודתה.",Descriptive,generated
83,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  כרגיל  בעבודתה.",Descriptive,generated
84,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  מעורבת  בעבודתה.",Descriptive,generated
85,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  עדיין  בעבודתה.",Descriptive,generated
86,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  גם  בעבודתה.",Descriptive,generated
87,"גופתו של אורל פרופורציונלית מאוד  יחסית  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
88,"גופתו של אורל פרופורציונלית מאוד  בערך  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
89,"גופתו של אורל פרופורציונלית מאוד  מאוד  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
90,"גופתו של אורל פרופורציונלית מאוד מכיוון  הוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
91,"גופתו של אורל פרופורציונלית מאוד מכיוון  שהוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
92,"גופתו של אורל פרופורציונלית מאוד מכיוון  והוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
93,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  רק  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
94,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  כמעט  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
95,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  משקלו  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
96,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  בערך  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
97,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  במשקל  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
98,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  כמעט  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
99,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  10  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
100,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  2  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
101,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  1  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
102,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  40  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
103,"לאירה  משמאל  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
104,"לאירה יש כתם לידה שנמצא בחלק  התחתון  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
105,"לאירה יש כתם לידה שנמצא בחלק  העליון  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
106,"לאירה יש כתם לידה שנמצא בחלק  האחורי  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
107,"לאירה יש כתם לידה שנמצא בחלק  השמאלי  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
108,"לאירה יש כתם לידה שנמצא בחלק  הימני  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
109,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  לידה  עגול.",Descriptive,generated
110,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הרחם  עגול.",Descriptive,generated
111,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הלבן  עגול.",Descriptive,generated
112,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  השחור  עגול.",Descriptive,generated
113,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  שלה  עגול.",Descriptive,generated
114,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ! ",Descriptive,generated
115,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ? ",Descriptive,generated
116,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  בתמונה ",Descriptive,generated
117,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  לבן ",Descriptive,generated
118,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  שחור ",Descriptive,generated
119,"לאתא יש שומה על המצח, גודל  המצח  אינו כה גדול.",Descriptive,generated
120,"לאתא יש שומה על המצח, גודל  החזה  אינו כה גדול.",Descriptive,generated
121,"לאתא יש שומה על המצח, גודל  המספר  אינו כה גדול.",Descriptive,generated
122,"לאתא יש שומה על המצח, גודל  שומה  אינו כה גדול.",Descriptive,generated
123,"לאתא יש שומה על המצח, גודל  השד  אינו כה גדול.",Descriptive,generated
124,"לאתא יש שומה על המצח, גודל השומה  שלך  כה גדול.",Descriptive,generated
125,"לאתא יש שומה על המצח, גודל השומה  שלי  כה גדול.",Descriptive,generated
126,"לאתא יש שומה על המצח, גודל השומה  שומה  כה גדול.",Descriptive,generated
